facility,year,score1,score2,score3,score4,score5
644,2013,0,0,6,10,5
646,2013,1,1,3,10,6
648,2013,1,0,5,10,5
649,2013,0,2,3,8,4
650,2013,2,0,3,7,7
652,2013,0,0,4,13,4
653,2013,0,1,2,10,4
654,2013,0,1,2,9,9
655,2013,0,0,1,7,8
656,2013,0,0,1,6,4
657,2013,0,2,2,13,4
658,2013,0,0,7,9,3
659,2013,0,0,1,10,7
660,2013,0,0,4,10,7
662,2013,0,3,1,11,6
663,2013,0,4,4,8,5
664,2013,0,2,4,7,8
666,2013,1,0,3,5,6
667,2013,2,0,3,11,3
668,2013,0,0,4,7,7
671,2013,0,0,3,13,5
672,2013,2,1,1,11,6
673,2013,1,0,4,11,5
674,2013,0,1,3,14,3
675,2013,0,1,2,5,3
676,2013,0,0,2,7,7
678,2013,0,3,4,11,3
679,2013,0,1,1,6,3
687,2013,0,1,0,8,2
688,2013,0,1,3,13,4
689,2013,0,0,3,10,8
691,2013,0,3,1,12,5
692,2013,0,0,4,4,3
693,2013,0,0,3,8,8
695,2013,0,1,2,13,5
0,2014,5,16,92,314,108
402,2014,0,1,6,8,6
405,2014,1,1,2,14,4
436,2014,0,2,3,9,8
437,2014,0,1,1,11,8
438,2014,0,0,4,9,9
442,2014,0,0,6,9,7
459,2014,0,0,9,3,2
460,2014,0,3,3,6,9
463,2014,0,0,3,7,4
501,2014,0,2,7,12,4
502,2014,0,0,5,9,7
503,2014,0,1,1,6,12
504,2014,0,0,3,10,10
506,2014,0,3,6,7,7
508,2014,0,0,4,14,7
509,2014,0,1,3,13,8
512,2014,1,1,2,14,7
515,2014,0,1,2,9,7
516,2014,1,1,3,13,7
517,2014,1,1,2,9,8
518,2014,0,0,3,8,3
519,2014,0,0,4,4,8
520,2014,0,0,3,12,7
521,2014,0,0,6,14,5
526,2014,0,2,4,12,4
528,2014,1,0,3,14,7
529,2014,0,0,2,7,5
531,2014,0,0,2,15,6
534,2014,0,0,4,12,6
537,2014,1,1,5,10,7
538,2014,0,0,6,8,7
539,2014,0,0,3,16,5
540,2014,0,1,3,14,5
541,2014,0,1,3,13,8
542,2014,0,1,3,7,7
544,2014,0,0,3,9,10
546,2014,1,1,6,13,4
548,2014,1,0,1,12,11
549,2014,0,1,5,12,5
550,2014,0,0,3,10,7
552,2014,0,0,5,13,5
553,2014,0,1,6,9,6
554,2014,0,2,6,11,5
556,2014,0,0,1,14,7
557,2014,0,0,5,9,7
558,2014,1,0,7,11,6
561,2014,1,1,2,14,4
562,2014,0,1,4,7,8
564,2014,0,0,7,8,7
565,2014,0,0,7,7,7
568,2014,0,1,2,8,10
570,2014,0,2,4,11,6
573,2014,1,0,4,13,7
575,2014,0,0,2,9,9
578,2014,1,1,0,12,11
580,2014,0,3,3,13,6
581,2014,1,1,3,8,11
583,2014,0,2,9,8,6
585,2014,0,0,3,9,8
586,2014,2,1,8,6,8
589,2014,0,1,6,10,5
590,2014,0,0,3,7,12
593,2014,0,2,5,11,5
595,2014,0,1,0,15,6
596,2014,0,1,8,8,7
598,2014,0,3,3,13,6
600,2014,1,0,2,13,9
603,2014,0,1,5,10,8
605,2014,1,3,7,9,5
607,2014,0,1,3,13,7
608,2014,0,0,5,7,2
612,2014,0,0,0,0,0
613,2014,0,0,3,13,6
614,2014,0,1,5,14,5
618,2014,0,2,3,12,6
619,2014,0,1,7,4,9
620,2014,0,1,2,9,2
621,2014,0,0,4,11,10
623,2014,0,0,6,10,6
626,2014,0,0,7,13,5
629,2014,0,0,4,7,3
630,2014,1,0,6,10,6
631,2014,0,0,3,9,2
632,2014,0,1,5,12,6
635,2014,1,1,7,12,4
636,2014,1,1,3,12,6
637,2014,0,2,5,11,6
640,2014,0,0,5,13,7
642,2014,0,1,7,11,4
644,2014,1,1,4,13,6
646,2014,2,1,1,14,7
648,2014,0,0,5,12,7
649,2014,0,2,6,7,5
650,2014,1,3,4,10,4
652,2014,0,1,5,14,5
653,2014,0,1,3,10,5
654,2014,1,1,4,6,12
655,2014,0,0,1,9,10
656,2014,0,0,1,8,5
657,2014,0,1,4,17,3
658,2014,0,0,4,13,6
659,2014,0,0,1,13,8
660,2014,0,0,5,13,6
662,2014,1,2,3,12,6
663,2014,0,1,7,10,7
664,2014,0,1,6,8,10
666,2014,1,0,6,6,6
667,2014,1,1,4,11,6
668,2014,0,1,3,9,9
671,2014,0,1,2,15,7
672,2014,1,1,3,13,7
673,2014,1,0,5,13,6
674,2014,1,1,3,14,5
675,2014,0,0,4,7,3
676,2014,1,0,1,10,8
678,2014,0,1,5,11,8
679,2014,0,1,2,8,3
687,2014,0,1,4,7,2
688,2014,1,2,2,14,6
689,2014,0,1,5,11,6
691,2014,0,1,4,13,7
692,2014,0,1,6,5,2
693,2014,0,2,3,8,10
695,2014,0,1,4,12,8
